headline,date,url,description
Police clash with anti-government protesters in Serbia over student expulsion,7/30/2025,https://apnews.com/article/serbia-protests-students-police-clashes-e9feceaa1c62028ad0dd12b4af50c23b,Police have clashed with protesters in Serbia after the forced expulsion of university students from a faculty building.
"‘Worst-case scenario of famine’ is happening in Gaza, food crisis experts warn",7/30/2025,https://apnews.com/article/mideast-wars-gaza-famine-israel-warning-d14ca629a68f7bdefe9c2fcc67d62224,"Gaza’s population is facing the “worst-case scenario of famine” and “widespread death” will occur without immediate action, the leading international authority on food crises has warned."
"Starmer says UK will recognize Palestinian state unless Israel agrees ceasefire, ends Gaza suffering",7/30/2025,https://apnews.com/article/starmer-recognize-palestinian-state-israel-peace-a08e929a9459e9160992f84dc73b6638,"British Prime Minister Keir Starmer says the U.K. will recognize a Palestinian state in September, unless Israel agrees to a ceasefire in Gaza and takes steps to long-term peace."
"Gaza death toll passes 60,000 as Israel feels pressure over famine alert, AP Explains",7/30/2025,https://apnews.com/video/gaza-death-toll-passes-60000-as-israel-feels-pressure-over-famine-alert-ap-explains-a09f253f597b49a0a595a46027c88887,Experts warned Tuesday that the territory of about 2 million Palestinians is on the brink of famine after Israeli restrictions and a breakdown of security have made it nearly impossible to safely deliver aid.
Why are scientists dressing pigs in clothes and burying them in Mexico?,7/30/2025,https://apnews.com/article/mexico-cartels-disappeared-technology-pigs-9e0fec063c7365c9b1dc4d2262313f86,Scientists in Mexico are testing innovative methods they hope can be employed to locate the overwhelming number of people missing due to cartel violence.
"Trump says US will partner with Israel to run additional food centers in Gaza, but details are scant",7/30/2025,https://apnews.com/article/trump-gaza-netanyahu-humanitarian-aid-starving-children-25ff470d3ddc037dfbdfc5a8377aafe6,President Donald Trump says the U.S. will partner with Israel to run new food centers in Gaza. This move aims to address the worsening humanitarian crisis in the region.
"The Latest: Gaza death toll passes 60,000 as Israel and Trump feel pressure over famine alert",7/30/2025,https://apnews.com/article/gaza-palestinians-israel-war-hamas-latest-c8120b0100ca83134743b478523b9dd4,"The Palestinian death toll in Gaza has passed 60,000. The world’s leading authority on food crises says the “worst-case scenario of famine is currently playing out” in the territory of over 2 million people."
Browns owner Jimmy Haslam says drafting rookie QB Shedeur Sanders in fifth round was GM’s decision,7/30/2025,https://apnews.com/article/browns-haslams-quarterbacks-shedeur-sanders-4f28da08d8303cad0b7d10551d287613,Cleveland Browns owner Jimmy Haslam says he’s not the one who drafted rookie quarterback Shedeur Sanders. It was all general manager Andrew Berry’s doing.
UK will recognize Palestinian state at General Assembly meeting in September,7/30/2025,https://apnews.com/video/uk-will-recognize-palestinian-state-at-general-assembly-meeting-in-september-760c635a53cf49e8859a355d45e224b5,"The U.K. will recognize a Palestinian state in September unless Israel agrees to a ceasefire in Gaza, allows the U.N. to bring in aid and takes other steps toward long-term peace."
"Attack on military base in Burkina Faso kills about 50 soldiers, residents say",7/30/2025,https://apnews.com/article/burkina-faso-militants-kill-sodliers-e1fbb8fd278846e6a87a33812849cb9a,Residents in northern Burkina Faso say an attack by an armed group on a military base has left about 50 soldiers dead.
"A settler allegedly killed a Palestinian, and there’s video. Israel released him to house arrest",7/30/2025,https://apnews.com/article/palestinians-israel-settler-violence-sanctioned-west-bank-2ee60c60369616abcece7fbaa18c96a0,A radical Israeli settler accused of shooting and killing a Palestinian activist during a confrontation with unarmed Palestinians in the occupied West Bank has been released to house arrest.
Why there hasn’t been a formal declaration of famine in Gaza,7/30/2025,https://apnews.com/article/israel-palestinians-hamas-war-hunger-aid-famine-explainer-155d22f7db41bf794a1c7f4cf87bdbf6,The leading international authority on food crises says the “worst-case scenario of famine is currently playing out in Gaza” and it predicts “widespread death” without immediate action.
Trump administration wants Harvard to pay far more than Columbia as part of settlement,7/29/2025,https://apnews.com/article/harvard-fine-settlement-columbia-trump-7d67ce469278232d137d46e9ec690e16,"The Trump administration is pressing for a deal with Harvard University that would require the Ivy League school pay far more than the $200 million fine agreed to by Columbia University, according to two people familiar with the matter."
Russian glide bombs hit prison in Ukraine’s southeastern Zaporizhzhia region,7/29/2025,https://apnews.com/video/russian-glide-bombs-hit-prison-in-ukraines-southeastern-zaporizhzhia-region-934e57cd38a446c9ac61834e9c73ddb2,"Four powerful Russian glide bombs hit a prison in Ukraine’s southeastern Zaporizhzhia region early on Tuesday, authorities said."
